
========TARGET AND MODEL ARGUMENT HISTOGRAMS========
POTENTIAL LJGaussAA

arg         target      model       
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  

POTENTIAL ExtSin

arg         target      model       
-1.4850e+01 1.1281e+02  1.1199e+02  
-1.4550e+01 1.1498e+02  1.1510e+02  
-1.4250e+01 1.1617e+02  1.1812e+02  
-1.3950e+01 1.1922e+02  1.1817e+02  
-1.3650e+01 1.2050e+02  1.2065e+02  
-1.3350e+01 1.2319e+02  1.2369e+02  
-1.3050e+01 1.2406e+02  1.2578e+02  
-1.2750e+01 1.2557e+02  1.2638e+02  
-1.2450e+01 1.2632e+02  1.2879e+02  
-1.2150e+01 1.2895e+02  1.2660e+02  
-1.1850e+01 1.3105e+02  1.2928e+02  
-1.1550e+01 1.3231e+02  1.3559e+02  
-1.1250e+01 1.3300e+02  1.3561e+02  
-1.0950e+01 1.3447e+02  1.3459e+02  
-1.0650e+01 1.3523e+02  1.3783e+02  
-1.0350e+01 1.3723e+02  1.3737e+02  
-1.0050e+01 1.3744e+02  1.3777e+02  
-9.7500e+00 1.3881e+02  1.3907e+02  
-9.4500e+00 1.3862e+02  1.4263e+02  
-9.1500e+00 1.3971e+02  1.4048e+02  
-8.8500e+00 1.4113e+02  1.4154e+02  
-8.5500e+00 1.4082e+02  1.4275e+02  
-8.2500e+00 1.4158e+02  1.4392e+02  
-7.9500e+00 1.4187e+02  1.4229e+02  
-7.6500e+00 1.4179e+02  1.4319e+02  
-7.3500e+00 1.4156e+02  1.4282e+02  
-7.0500e+00 1.4203e+02  1.4504e+02  
-6.7500e+00 1.4067e+02  1.4226e+02  
-6.4500e+00 1.4121e+02  1.4205e+02  
-6.1500e+00 1.4042e+02  1.4098e+02  
-5.8500e+00 1.4017e+02  1.4321e+02  
-5.5500e+00 1.3978e+02  1.4130e+02  
-5.2500e+00 1.3798e+02  1.4013e+02  
-4.9500e+00 1.3768e+02  1.3859e+02  
-4.6500e+00 1.3628e+02  1.4043e+02  
-4.3500e+00 1.3514e+02  1.3767e+02  
-4.0500e+00 1.3421e+02  1.3432e+02  
-3.7500e+00 1.3230e+02  1.3451e+02  
-3.4500e+00 1.3233e+02  1.3483e+02  
-3.1500e+00 1.3035e+02  1.3086e+02  
